timestamp,source,log_message,target_label,complexity,session_length,referrer_url,browser_fingerprint,utm_source,test_column
27-06-2025 07:20,ModernCRM,"nova.osapi_compute.wsgi.server [req-b9718cd8-f65e-49cc-8349-6cf7122af137 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2675118",HTTP Status,bert,146,https://google.com,Une7b1SPIFKVTPa3,adwords,junk_data
1/14/2025 23:07,ModernCRM,Email service experiencing issues with sending,Critical Error,bert,49,https://linkedin.com,gqYwlXOHNJdm9A5r,referral,junk_data
1/17/2025 1:29,AnalyticsEngine,Unauthorized access to data was attempted,Security Alert,bert,279,https://google.com,AllGWCC6jx9mn5Do,referral,junk_data
12-07-2025 00:24,ModernHR,"nova.osapi_compute.wsgi.server [req-4895c258-b2f8-488f-a2a3-4fae63982e48 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 211 time: 0.0968180",HTTP Status,bert,75,https://example.com,aavLDi2ofEQ5Wefk,referral,junk_data
02-06-2025 18:25,BillingSystem,"nova.osapi_compute.wsgi.server [req-ee8bc8ba-9265-4280-9215-dbe000a41209 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1874 time: 0.2280791",HTTP Status,bert,76,https://linkedin.com,qUsF7wj9qkbOWFSz,newsletter,junk_data
09-10-2025 10:30,ModernHR,"nova.osapi_compute.wsgi.server [req-f0bffbc3-5ab0-4916-91c1-0a61dd7d4ec2 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1874 time: 0.2131531",HTTP Status,bert,279,https://facebook.com,kPmWOTtw4CBiU8jl,referral,junk_data
03-01-2025 19:14,ModernHR,Shard 6 replication task ended in failure,Error,bert,89,https://linkedin.com,cqsB1MO9ljqEm9PQ,newsletter,junk_data
10-11-2025 08:44,ModernHR,File data_6169.csv uploaded successfully by user User953.,System Notification,regex,152,,EfPPhQTCTu4UAXLD,newsletter,junk_data
12-02-2025 10:42,ThirdPartyAPI,"nova.compute.claims [req-a07ac654-8e81-416d-bfbb-189116b07969 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: bf8c824d-f099-4433-a41e-e3da7578262e] Total memory: 64172 MB, used: 512.00 MB",Resource Usage,bert,136,https://facebook.com,EfSBDv77E4i5tCqB,referral,junk_data
30-03-2025 04:01,ModernHR,"nova.osapi_compute.wsgi.server [req-2bf7cfee-a236-42f3-8fb1-96fefab0b302 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1874 time: 0.1794369",HTTP Status,bert,298,https://example.com,AcYnC1FO7HMXl4uO,organic,junk_data
08-09-2025 18:58,ModernCRM,Email server encountered a sending fault,Error,bert,201,https://facebook.com,z1mm7pEzuMlABTdX,organic,junk_data
6/15/2025 11:44,ModernHR,Critical system unit error: unit ID Component55,Critical Error,bert,219,https://google.com,5yB8DPwr7tM46BaF,social,junk_data
12-07-2025 03:03,ModernHR,"nova.osapi_compute.wsgi.server [req-d4f8d0c2-4f21-4b38-9f85-d82f8da75c23 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2663860",HTTP Status,bert,241,https://linkedin.com,yR86Wu500D9GdoSd,adwords,junk_data
